Precision,Recall,Threshold
0.0017227134494700019,1.0,8.072180026476092e-07
0.0017227437330801954,1.0,8.07428835922453e-07
0.00172277401775512,1.0,8.140842127125734e-07
0.0017228043034948316,1.0,8.158503972761103e-07
0.0017228345902993865,1.0,8.174694027249646e-07
0.0017228648781688408,1.0,8.246630362043464e-07
0.0017228951671032506,1.0,8.322417475333785e-07
0.0017229254571026723,1.0,8.324338280068511e-07
0.0017229557481671619,1.0,8.374643180266568e-07
0.0017229860402967756,1.0,8.409693749068724e-07
0.0017230163334915696,1.0,8.425398435888099e-07
0.0017230466277516,1.0,8.437769180431295e-07
0.001723076923076923,1.0,8.515062331154462e-07
0.0017231072194675951,1.0,8.573310154874874e-07
0.001723137516923672,1.0,8.588186629563568e-07
0.0017231678154452103,1.0,8.59148105454713e-07
0.001723198115032266,1.0,8.604401721226758e-07
0.0017232284156848954,1.0,8.611359644191397e-07
0.0017232587174031545,1.0,8.650053253618098e-07
0.0017232890201870998,1.0,8.650987419118649e-07
0.0017233193240367875,1.0,8.661799270779608e-07
0.0017233496289522738,1.0,8.698385278554101e-07
0.0017233799349336146,1.0,8.716519815577534e-07
0.0017234102419808666,1.0,8.745990238815557e-07
0.0017234405500940859,1.0,8.751530311234686e-07
0.0017234708592733284,1.0,8.753098524483474e-07
0.0017235011695186507,1.0,8.786991170144251e-07
0.001723531480830109,1.0,8.793192009623207e-07
0.0017235617932077596,1.0,8.805355876123717e-07
0.0017235921066516586,1.0,8.809864400759639e-07
0.0017236224211618623,1.0,8.821389220220514e-07
0.001723652736738427,1.0,8.844179408843288e-07
0.0017236830533814088,1.0,8.885094086552006e-07
0.0017237133710908644,1.0,8.891120652794057e-07
0.0017237436898668496,1.0,8.916039555385298e-07
0.001723774009709421,1.0,8.919582287770923e-07
0.0017238043306186347,1.0,8.927885640509861e-07
0.001723834652594547,1.0,8.937670590780435e-07
0.0017238649756372143,1.0,8.939698286666375e-07
0.001723895299746693,1.0,8.943443158548065e-07
0.001723925624923039,1.0,8.957211226567664e-07
0.001723955951166309,1.0,8.96845736570477e-07
0.0017239862784765591,1.0,8.991514109871346e-07
0.0017240166068538457,1.0,8.999003728364739e-07
0.0017240469362982248,1.0,9.01167497589437e-07
0.0017240772668097534,1.0,9.013756832080229e-07
0.001724107598388487,1.0,9.038653506819951e-07
0.0017241379310344827,1.0,9.045866943051186e-07
0.0017241682647477965,1.0,9.058272550358747e-07
0.0017241985995284845,1.0,9.059002985451983e-07
0.0017242289353766032,1.0,9.06701726149148e-07
0.001724259272292209,1.0,9.096781688878104e-07
0.0017242896102753584,1.0,9.104066829738941e-07
0.0017243199493261075,1.0,9.135839354878517e-07
0.0017243502894445128,1.0,9.142708685853969e-07
0.0017243806306306306,1.0,9.166896125358075e-07
0.0017244109728845173,1.0,9.168172597847056e-07
0.0017244413162062291,1.0,9.168861154722632e-07
0.0017244716605958226,1.0,9.184904811623494e-07
0.001724502006053354,1.0,9.222079219085107e-07
0.0017245323525788797,1.0,9.239024875129134e-07
0.0017245627001724563,1.0,9.24379698667799e-07
0.0017245930488341398,1.0,9.286686086880676e-07
0.0017246233985639872,1.0,9.33004996529585e-07
0.001724653749362054,1.0,9.33334594461995e-07
0.0017246841012283974,1.0,9.334796669739427e-07
0.0017247144541630735,1.0,9.356464160287009e-07
0.0017247448081661387,1.0,9.36575747092595e-07
0.0017247751632376493,1.0,9.383899118937136e-07
0.001724805519377662,1.0,9.384501313317363e-07
0.001724835876586233,1.0,9.398769970549758e-07
0.0017248662348634187,1.0,9.429764084560226e-07
0.0017248965942092758,1.0,9.43775737682585e-07
0.0017249269546238603,1.0,9.45914625332908e-07
0.001724957316107229,1.0,9.467225696167266e-07
0.0017249876786594382,1.0,9.473523335349895e-07
0.0017250484069706038,1.0,9.487248005850187e-07
0.0017250787727296731,1.0,9.517991683284392e-07
0.0017251091395578087,1.0,9.549091095534664e-07
0.0017251395074550672,1.0,9.571248880237654e-07
0.0017251698764215047,1.0,9.57349043904262e-07
0.001725200246457178,1.0,9.580108428973299e-07
0.0017252306175621435,1.0,9.59714240650341e-07
0.0017252609897364577,1.0,9.618214842095372e-07
0.0017252913629801768,1.0,9.62011626732058e-07
0.0017253521126760563,1.0,9.624888459273433e-07
0.0017253824891283298,1.0,9.664344640565594e-07
0.0017254128666502342,1.0,9.673126366201562e-07
0.001725443245241826,1.0,9.675050697007429e-07
0.0017254736249031621,1.0,9.694504912786536e-07
0.001725504005634299,1.0,9.700896372957852e-07
0.0017255343874352925,1.0,9.717606107541287e-07
0.0017255647703061996,1.0,9.728310992135324e-07
0.001725595154247077,1.0,9.73132847249342e-07
0.001725625539257981,1.0,9.733301585381221e-07
0.0017256559253389682,1.0,9.749920085784178e-07
0.001725686312490095,1.0,9.783115178880532e-07
0.001725716700711418,1.0,9.788126407904352e-07
0.0017257470900029937,1.0,9.79199723148854e-07
0.0017257774803648787,1.0,9.816741173753845e-07
0.0017258078717971295,1.0,9.81922527051642e-07
0.0017258382642998027,1.0,9.824021833712534e-07
0.0017258686578729549,1.0,9.85170695057204e-07
